symbol,name,exchange,country,sector
BHP,BHP Group,NYSE,Australia,Diversified
VALE,Vale,NYSE,Brazil,Iron / Steel Ore
CS.TO,Capstone Copper,TSX,Canada,Copper
ERO.TO,Ero Copper,TSX,Canada,Copper
FM.TO,First Quantum Minerals,TSX,Canada,Copper
HBM.TO,Hudbay Minerals,TSX,Canada,Copper
IVN.TO,Ivanhoe Mines,TSX,Canada,Copper
LUN.TO,Lundin Mining,TSX,Canada,Copper
NCU.TO,Nevada Copper,TSX,Canada,Copper
SLS,Solaris Resources,NYSE,Canada,Copper
TECK,Teck Resources,NYSE,Canada,Copper
TKO.TO,Taseko Mines,TSX,Canada,Copper
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),NYSE,Canada,Diversified
ABX.TO,Barrick Gold,TSX,Canada,Gold
AEM.TO,Agnico Eagle Mines,TSX,Canada,Gold
AGI.TO,Alamos Gold,TSX,Canada,Gold
ARTG.V,Artemis Gold,TSXV,Canada,Gold
BTG,B2Gold (ADR),NYSE,Canada,Gold
BTO.TO,B2Gold,TSX,Canada,Gold
CG.TO,Centerra Gold,TSX,Canada,Gold
DPM.TO,Dundee Precious Metals,TSX,Canada,Gold
EDV.TO,Endeavour Mining,TSX,Canada,Gold
ELD.TO,Eldorado Gold,TSX,Canada,Gold
EQX.TO,Equinox Gold,TSX,Canada,Gold
FNV.TO,Franco-Nevada,TSX,Canada,Gold
GOLD,Barrick Gold (ADR),NYSE,Canada,Gold
IAG,IAMGOLD,NYSE,Canada,Gold
IMG.TO,IAMGOLD,TSX,Canada,Gold
K.TO,Kinross Gold,TSX,Canada,Gold
KNT.TO,K92 Mining,TSX,Canada,Gold
LUG.TO,Lundin Gold,TSX,Canada,Gold
NG.TO,NovaGold Resources,TSX,Canada,Gold
OGC.TO,OceanaGold,TSX,Canada,Gold
OLA.TO,Orla Mining,TSX,Canada,Gold
ORE.TO,Orezone Gold,TSX,Canada,Gold
SSRM,SSR Mining,NASDAQ,Canada,Gold
TXG.TO,Torex Gold Resources,TSX,Canada,Gold
WDO.TO,Wesdome Gold Mines,TSX,Canada,Gold
